Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2019-04882446-2;(BM) 2019-009600411-001;01/03/2019 02:39;AVENIDA JUCA STOCKLER, Nº S/N - BELO HORIZONTE - PASSOS;-207.277.422;-466.042.335;V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;10/03/2019 03:05;Não
2019-04883106-0;(BM) 2019-009610000-001;01/03/2019 06:48;RUA PORTUGAL, Nº 269 - NOVO MUNDO - PASSOS;-20.725.834;-465.908.523;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;01/03/2019 07:10;Não
2019-04883332-9;(BM) 2019-009611976-001;01/03/2019 07:20;AVENIDA JUCA STOCKLER, Nº 1530 - PASSOS;-207.360.983;-466.013.501;W99000 - OUTROS PROCEDIMENTOS ADMINISTRATIVOS (C) (Prioridade: 3 - Baixa);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01362;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;08/03/2019 18:53;Não
2019-04884031-8;(BM) 2019-009642607-001;01/03/2019 08:51;AVENIDA JUCA STOCKLER, Nº 1530 - PASSOS;-207.360.983;-466.013.501;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);UR08842;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/03/2019 11:56;Não
2019-04884637-1;(BM) 2019-009635358-001;01/03/2019 09:47;RODOVIA MG 050, Km 351 - PASSOS;-20.734.536;-465.792.906;V02408 - VITIMA DE COLISAO ENTRE AUTOMOVEL X MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;10/03/2019 03:05;Não
2019-04887671-6;(BM) 2019-009831982-001;01/03/2019 14:35;ACESSO RURAL Estrada Esmeril , Nº S/N - SAO JOAO BATISTA DO GLORIA;;;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01160;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;05/03/2019 18:02;Não
2019-04889006-8;(BM) 2019-009702718-001;01/03/2019 16:12;AVENIDA ANTONIO ADAO DA SILVA, Nº S/N - COHAB 4 - PASSOS;-20.718.194;-46.632.107;V03005 - VITIMA DE AGRESSAO FISICA SEM USO DE ARMA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;10/03/2019 03:04;Não
2019-04889128-5;(BM) 2019-009712362-001;01/03/2019 16:21;RUA WENCESLAU BRAZ, Nº S/N - CARMO DO RIO CLARO;-209.714.319;-461.200.974;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APF01160;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/03/2019 11:56;Não
2019-04890689-0;(BM) 2019-009719953-001;01/03/2019 18:27;RUA ANGRA DOS REIS / RUA ACRE - PASSOS;-207.041.324;-465.935.661;V02402 - VITIMA DE COLISAO ENTRE MOTOCICLETAS (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR0565;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;10/03/2019 03:05;Não
2019-04894878-4;(BM) 2019-009768420-001;01/03/2019 23:19;RUA CABO VERDE, Nº 55 - PENHA - PASSOS;-20.718.454;-466.179.188;P02005 - VISTORIA EM RISCO DE DESLIZAMENTO / SOTERRAMENTO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL00064;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/03/2019 11:56;Não
