Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2026-44127052-1;;18/02/2026 15:23;RODOVIA MG 050, Nº S/N - PASSOS;-207.379.186;-46.618.731;W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);;Não;Não;Não;DUPLICADA;Classificada;18/02/2026 17:05;Não
2026-44127249-6;(BM) 2026-007872326-001;18/02/2026 15:38;ESTRADA FAZENDA TALHADOS  - SAO JOAO BATISTA GLORIA;;;S04008 - SALVAMENTO DE PESSOA ILHADA (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;19/02/2026 05:50;Não
2026-44129352-6;(BM) 2026-007892446-001;18/02/2026 17:44;RUA ITABIRA, Nº 124 - CALIFORNIA - PASSOS;-207.042.433;-466.152.079;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;19/02/2026 05:50;Não
2026-44132560-1;(BM) 2026-007962368-001;18/02/2026 21:11;RUA ADVOGADOS, Nº 36 - BELO HORIZONTE - PASSOS;-207.325.432;-466.041.696;V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;ATENDIDA PELO SAMU;Classificada;19/02/2026 05:50;Não
2026-44132606-0;(BM) 2026-007932099-001;18/02/2026 21:14;RUA JANAUBA, Nº 275 - COHAB 2 - PASSOS;-207.094.728;-466.298.794;O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ABT00816;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;19/02/2026 05:50;Não
2026-44137669-8;;19/02/2026 08:52;RUA MINAS GERAIS, Nº 380 - CENTRO - CLARAVAL;-204.043.348;-472.844.149;W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);;Não;Não;Não;NADA CONSTATADO;Classificada;19/02/2026 11:32;Não
2026-44139225-5;(BM) 2026-007994454-001;19/02/2026 10:55;RUA ALFERES JOAO PIMENTA DE ABREU, Nº 389 - MUARAMA 2 - PASSOS;-207.337.213;-466.105.072;V01999 - OUTROS TIPOS DE APH CLINICO (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44141164-5;(BM) 2026-008030700-001;19/02/2026 13:44;RUA JOAO PIMENTA, Nº 408 - SAO BENEDITO - PASSOS;-207.204.885;-465.979.638;P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL07161;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44141442-6;;19/02/2026 14:03;RUA LIMONITA, Nº 327 - JARDIM KENNEDY 1 - POCOS DE CALDAS;;;V01004 - VITIMA COM CRISE DIABETICA / HIPOGLICEMIA (C) (Prioridade: 1 - Alta);1CIA IND (POCOS DE CALDAS);;Não;Não;Não;ATENDIDA PELO SAMU;Classificada;19/02/2026 14:17;Não
2026-44142879-0;(BM) 2026-008041529-001;19/02/2026 15:17;RODOVIA MG 050, Nº S/N - PASSOS;-207.379.186;-46.618.731;O04008 - INCENDIO EM AREA RURAL NAO PROTEGIDA (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44146913-8;(BM) 2026-008084540-001;19/02/2026 18:49;RUA VITORIA, Nº 11 - JARDIM COLEGIO DE PASSOS - PASSOS;-207.221.814;-465.960.941;V02201 - VITIMA DE CHOQUE DE BICICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44147864-0;(BM) 2026-008096622-001;19/02/2026 19:44;RUA GUANABARA, Nº 754 - POLIVALENTE - PASSOS;-207.019.158;-466.039.296;V01003 - VITIMA COM CRISE CONVULSIVA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44149227-7;(BM) 2026-008113180-001;19/02/2026 21:08;RUA IMACULADA CONCEICAO, Nº 828 - COHAB 4 - PASSOS;-20.722.191;-46.632.677;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;20/02/2026 06:54;Não
2026-44154658-8;(BM) 2026-008154117-001;20/02/2026 08:45;RUA GONCALVES DIAS, Nº 827 - SAO BENEDITO - PASSOS;-207.213.418;-466.036.118;P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média);1CIA IND/2CIA/PEL PREV E VIST(PASSOS);APV06243;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/02/2026 08:06;Não
2026-44157026-0;(BM) 2026-008183002-001;20/02/2026 11:38;RUA CORONEL JOAO DE BARROS, Nº 1273 - BELO HORIZONTE - PASSOS;-207.282.893;-466.082.384;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/02/2026 08:06;Não
2026-44157375-0;;20/02/2026 12:15;RUA BELGICA, Nº 200 - CONDOMÍNIO DAS NAÇÕES. - PASSOS;-207.310.134;-465.904.685;V03019 - VITIMA DE QUEDA DE ALTURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;ATENDIDA PELO SAMU;Classificada;20/02/2026 12:46;Não
2026-44157907-7;(BM) 2026-008193290-001;20/02/2026 13:11;AVENIDA OLIVEIRA REZENDE, Nº 1300 - VILA OPERARIA - SAO SEBASTIAO PARAISO;-209.096.216;-469.957.754;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL07161;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/02/2026 08:06;Não
2026-44158323-1;(BM) 2026-008198487-001;20/02/2026 13:42;RUA PONTA PORA / RUA GOIAS - BELA VISTA - PASSOS;-207.123.872;-465.993.495;V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/02/2026 08:06;Não
