Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2025-40563281-9,(BM) 2025-033688400-001,20/07/2025 20:38,"RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS",,,V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/07/2025 17:39,Não
2026-43867945-5,(BM) 2026-005530804-001,04/02/2026 08:47,"RUA REGISTRO, Nº S/N - RETIRO - CONTAGEM",-198.425.245,-44.149.536,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/2CIA/1PEL(PASSOS),BM1551779,Não,Não,Não,,Em controle,04/02/2026 09:02,Não
2026-43957189-5,(BM) 2026-006208492-001,09/02/2026 07:09,"RUA DOUTOR CARVALHO, Nº 1650 - NOSSA SENHORA DAS GRAÇAS - PASSOS",-207.369.083,-466.033.749,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),1CIA IND/2CIA/3PEL(PIUMHI),TPO01399,Não,Não,Não,,Terminada,09/02/2026 12:59,Não
2026-43957858-3,(BM) 2026-006216601-001,09/02/2026 08:23,"RUA SANTA MARTA, Nº 9 - CANJERANUS - PASSOS",-207.117.482,-466.075.007,V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 09:37,Não
2026-43958818-4,(BM) 2026-006227878-001,09/02/2026 09:38,"RUA FUNCIONARIOS, Nº 355 - BELO HORIZONTE - PASSOS",-207.312.254,-466.039.551,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/2CIA/PEL PREV E VIST(PASSOS),APV06243,Não,Não,Não,,Terminada,09/02/2026 10:29,Não
2026-43959355-3,(BM) 2026-006241778-001,09/02/2026 10:13,"RUA ARARA, Nº 174 - NOSSA SENHORA DAS GRAÇAS - PASSOS",-20.739.894,-466.046.904,V01024 - VITIMA DE SUICIDIO (TENTATIVA) - APH CLINICO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 11:02,Não
2026-43959594-4,(BM) 2026-006235608-001,09/02/2026 10:28,"AVENIDA COMENDADOR FRANCISCO A MAIA, Nº 3661 - BELO HORIZONTE - PASSOS",-2.073.046,-466.082.084,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),1CIA IND/2CIA/PEL PREV E VIST(PASSOS),APV06243,Não,Não,Não,,Terminada,09/02/2026 17:26,Não
2026-43959989-2,(BM) 2026-006241815-001,09/02/2026 10:55,"RUA JORGE JABUR, Nº 158 - RECANTO DA TEKA - PASSOS",-207.459.463,-465.951.645,V01024 - VITIMA DE SUICIDIO (TENTATIVA) - APH CLINICO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 11:46,Não
2026-43960601-5,(BM) 2026-006256525-001,09/02/2026 11:41,"RUA RIO PARDO, Nº 1240 - SANTA LUZIA - PASSOS",,,V01003 - VITIMA COM CRISE CONVULSIVA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 12:55,Não
2026-43961282-4,(PM) 2026-006265316-001 / (BM) 2026-006265316-002,09/02/2026 12:42,"RUA SEBASTIAO TEOFILO, Nº 211 - NOVA CALIFORNIA - PASSOS",-207.015.231,-46.621.417,V03025 - VITIMA COM FERIMENTO DE CORTE/CONTUSAO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 14:19,Não
2026-43965178-4,(BM) 2026-006327441-001,09/02/2026 16:12,"RUA HORTENCIAS, Nº S/N - COHAB 3 - PASSOS",-207.069.105,-466.205.945,V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR04360,Não,Não,Não,,Terminada,09/02/2026 17:22,Não
