Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2018-02023410-8,(BM) 2018-026756614-001,18/06/2018 10:54,"RUA SAO JOSE, Nº 383 - COUNTRY CLUB - POCOS DE CALDAS",-217.879.543,-465.915.699,Q03999 - OUTROS TIPOS DE TREINAMENTO (C) (Prioridade: 2 - Média),1CIA IND (POCOS DE CALDAS),BM1644467,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,19/06/2018 12:27,Não
2018-02039764-0,(BM) 2018-027047525-001,19/06/2018 19:46,"AVENIDA JUCA STOCKLER, Nº 1530 - PASSOS",-207.360.983,-466.013.501,V01999 - OUTROS TIPOS DE APH CLINICO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,24/06/2018 01:16,Não
2018-02040124-5,(BM) 2018-027047240-001,19/06/2018 20:23,"AVENIDA JUCA STOCKLER, Nº S/N - BELO HORIZONTE - PASSOS",-207.277.422,-466.042.335,V01003 - VITIMA COM CRISE CONVULSIVA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,24/06/2018 01:15,Não
2018-02040366-4,(BM) 2018-027733620-001,19/06/2018 20:49,"RODOVIA MG 050, Km 236, Nº S/N - MONSENHOR MESSIAS - PASSOS",-207.386.288,-465.979.551,P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB (C) (Prioridade: 2 - Média),1CIA IND/2CIA/PEL PREV E VIST(PASSOS),APF00295,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,27/06/2018 10:45,Não
2018-02043016-9,(BM) 2018-027139068-002,20/06/2018 08:02,"RUA GASPAR PIMENTA DE MORAES, Nº 121 - PENHA 2 - PASSOS",-207.326.907,-466.271.853,V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/06/2018 00:22,Não
2018-02043645-4,(BM) 2018-027213630-001,20/06/2018 09:12,"RUA RIO GRANDE DO NORTE, Nº 182 - BELA VISTA - PASSOS",-207.190.298,-465.969.417,W03000 - SOLICITANTE ENCONTRADO - PROVIDENCIA DISPENSADA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/06/2018 10:43,Não
2018-02044094-8,(BM) 2018-027098740-001,20/06/2018 10:00,"AVENIDA JUCA STOCKLER, Nº 1530 - PASSOS",-207.360.983,-466.013.501,Q03999 - OUTROS TIPOS DE TREINAMENTO (C) (Prioridade: 3 - Baixa),1CIA IND/2CIA/1PEL(PASSOS),ABS01036,Não,Sim,Sim,BOLETIM DE OCORRENCIA,Classificada,21/06/2018 09:04,Não
2018-02044199-6,(BM) 2018-027095705-001,20/06/2018 10:10,"AVENIDA JUCA STOCKLER, Nº S/N - BELO HORIZONTE - PASSOS",-207.277.422,-466.042.335,V03018 - VITIMA DE QUEDA DA PROPRIA ALTURA (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/06/2018 00:22,Não
2018-02044597-9,(BM) 2018-027105797-001,20/06/2018 10:49,"PRACA CASCATA, Nº 11 - NOVO HORIZONTE - PASSOS",-207.311.755,-466.000.132,V01023 - VITIMA DE SINCOPE (DESMAIO) (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),UR08842,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/06/2018 10:43,Não
2018-02045515-0,,20/06/2018 12:30,"RUA JOAO CARDOSO LEMOS, Nº 110 - JARDIM SATELITE - PASSOS",-20.710.486,-466.223.386,V01017 - VITIMA DE INTOXICACAO / ENVENENAMENTO (C) (Prioridade: 1 - Alta),1CIA IND/2CIA/1PEL(PASSOS),,Não,Não,Não,DISPEN-DISPENSADO PELO SOLICITANTE,Classificada,20/06/2018 12:34,Não
